sonda,resistente_exp,sensible_exp
1552496_a_at,2.870078607,2.859421723
1552497_a_at,4.473287496,4.421382681
1552498_at,3.383309778,3.382373929
1552499_a_at,3.03816084,2.955426983
1552501_a_at,4.462611604,4.674419487
1552502_s_at,2.736731703,2.722981847
1552503_at,3.767238366,3.81526279
1552504_a_at,5.37453667,5.458093422
1552506_at,2.893883453,3.010903077
1552507_at,3.190791734,3.258806874
1552508_at,3.078667877,3.166957705
1552509_a_at,2.718647562,2.688726742
1552510_at,7.102260643,7.209500552
1552511_a_at,2.513766993,2.366938177
1552514_at,2.586818072,2.667887958
1552515_at,3.589939872,3.55792235
1552516_a_at,4.23533426,4.315013029
1552518_s_at,3.848474643,3.663634286
1552519_at,2.776212877,2.772965806
1552520_at,2.960127218,3.01313769
1552521_a_at,2.168763491,2.154538816
1552522_at,2.204071564,2.221176008
1552523_a_at,3.234556061,3.121333804
1552524_at,4.718670318,4.787709759
1552526_at,3.081896069,3.072647171
1552528_at,5.145985751,5.314114532
1552531_a_at,2.994232793,2.958201531
1552532_a_at,2.751878248,2.857064899
1552535_at,5.022031075,5.05839401
1552536_at,4.225228535,3.980082432
1552538_a_at,2.574915307,2.601248648
1552540_s_at,4.309952828,4.284151762
1552541_at,5.297858173,5.168310157
1552542_s_at,5.556563499,5.196065715
1552543_a_at,4.424786936,4.351321425
1552544_at,3.240800202,3.177231243
1552546_a_at,2.616516861,2.670706076
1552548_at,3.567488618,3.697227117
1552549_a_at,4.072875431,4.248643023
1552552_s_at,2.952203528,2.699774327
1552553_a_at,3.077814168,3.099309044
1552554_a_at,2.592679947,2.675235187
1552555_at,5.252533224,5.36363734
1552557_a_at,5.014254838,5.041204498
1552558_a_at,6.165888135,6.266732448
1552559_a_at,3.881616331,3.908082376
1552562_at,4.242189996,4.246395877
1552563_a_at,2.617491918,2.501455553
1552564_at,3.278604333,3.298229366
1552566_at,2.880713528,2.964118828
1552568_at,3.323398589,3.429615328
1552569_a_at,2.996864299,3.058348131
1552570_at,2.733966279,2.81282942
1552572_a_at,2.14011549,2.058203057
1552573_s_at,2.324415753,2.264056778
1552575_a_at,3.410999364,3.173113636
1552576_at,3.813714316,3.876152465
1552578_a_at,2.305010277,2.350902852
1552579_a_at,3.211512454,3.228464097
1552580_at,4.096802006,4.09478963
1552582_at,2.748024391,2.731776417
1552583_s_at,2.707832095,2.660691578
1552584_at,5.812776543,5.836169649
1552585_s_at,2.267944895,2.335146782
1552586_at,4.746609726,4.846953304
1552587_at,2.571193123,2.546721905
1552588_a_at,2.361999108,2.41942966
1552590_a_at,2.56831004,2.496091351
1552592_at,2.186250372,2.188424778
1552594_at,4.539911787,4.640254331
1552596_at,4.712908789,4.80559428
1552598_at,3.692725284,3.64726585
1552599_at,2.515368787,2.497954105
1552602_at,4.521002121,4.534725978
1552604_at,3.024730582,3.152313014
1552605_s_at,3.012129058,3.1838824
1552607_at,4.499610924,4.395792251
1552608_at,3.6872286,3.722854447
1552609_s_at,2.498437507,2.683744628
1552610_a_at,6.502412403,6.25776073
1552611_a_at,4.783534774,4.758948806
1552612_at,6.437574491,6.429051792
1552613_s_at,7.147948927,7.084465215
1552615_at,6.612480808,6.641228494
1552616_a_at,3.705870329,3.786221833
1552617_a_at,7.162137702,7.062003653
1552618_at,6.036575487,5.941063059
1552619_a_at,6.134470577,6.258161128
1552620_at,5.901844014,6.05874964
1552621_at,6.301270735,6.342370211
1552622_s_at,4.693005903,4.603072118
1552623_at,6.076210117,5.868532701
1552625_a_at,4.503944379,4.126248043
1552626_a_at,6.467212254,5.666473053
1552627_a_at,3.366138909,3.326296404
1552628_a_at,6.747005853,6.69844976
1552629_a_at,3.297460353,3.297506528
1552630_a_at,3.039484566,3.241747945
1552631_a_at,4.235350886,4.30507624
1552632_a_at,2.93248436,3.010198136
1552633_at,6.356029911,6.465429304
1552634_a_at,6.242797116,6.231804503
1552637_at,2.746162887,2.766919018
1552639_at,4.3183175,4.373175587
1552641_s_at,5.853354945,6.058085148
1552643_at,5.137036098,5.255867322
1552644_a_at,6.681703856,6.831324359
1552646_at,4.487022524,4.459031074
1552648_a_at,4.469776252,4.337029806
1552649_a_at,3.770285689,4.019445539
1552651_a_at,4.844861946,4.955193294
1552652_at,6.461844825,6.419499945
1552656_s_at,4.224735341,4.303282004
1552657_a_at,4.51779724,4.591348291
1552658_a_at,2.532801906,2.472358067
1552660_a_at,3.609204364,3.482343166
1552661_at,2.328786667,2.215220282
1552662_a_at,4.065369583,3.918150291
1552663_a_at,4.086824589,4.03115219
1552664_at,4.304329307,4.290959612
1552665_at,3.459489214,3.495611253
1552666_a_at,2.551419709,2.674305097
1552667_a_at,4.22157029,4.476397883
1552669_at,3.148264848,3.218122301
1552670_a_at,3.623457993,3.939030593
1552671_a_at,4.45798847,4.356604514
1552672_a_at,3.561820963,3.705003757
1552673_at,2.240483619,2.262859743
1552674_at,2.094463442,2.1470135
1552675_at,2.366772348,2.281662503
1552676_at,5.576947932,5.746498002
1552677_a_at,3.639145634,3.705474446
1552678_a_at,4.299302363,4.21683357
1552680_a_at,5.126064625,4.804955197
1552682_a_at,4.647673573,4.497363451
1552684_a_at,2.818540139,2.888279357
1552685_a_at,3.213491641,3.224369557
1552686_at,3.714238787,3.699996764
1552687_a_at,3.612184914,3.479844861
1552689_at,5.027970406,5.056921805
1552690_a_at,3.866397322,3.88591837
1552691_at,2.742985518,2.697484984
1552693_at,2.439709808,2.449714022
1552694_at,2.177616835,2.149398599
1552695_a_at,3.103236292,2.924615398
1552696_at,4.038673081,4.056855257
1552698_at,4.242511185,4.292420446
1552701_a_at,8.018787319,8.104657377
1552703_s_at,7.420379651,7.430744569
1552705_at,2.84166305,2.33424104
1552708_a_at,2.819048874,2.73536314
1552711_a_at,6.295052088,6.186776506
1552712_a_at,3.080214702,3.145303167
1552713_a_at,2.901994563,3.06525174
1552714_at,2.749374089,2.710368565
1552715_a_at,5.756513289,4.418521059
1552716_at,5.71517923,5.642057906
1552717_s_at,3.019842069,3.035526295
1552718_at,5.249666888,5.060981044
1552719_at,5.260184753,5.5096466
1552721_a_at,2.277942635,2.330680877
1552722_at,2.297017107,2.28438113
1552724_at,4.703135152,4.694985542
1552725_s_at,3.582773228,3.647561353
1552726_at,3.078143445,3.166793109
1552727_s_at,2.634345674,2.632628113
1552729_at,5.3596684,5.479354444
1552730_at,3.23958454,3.369418007
1552731_at,2.540984913,2.607557866
1552732_at,2.251593308,2.23455768
1552733_at,6.988167202,6.134640581
1552734_at,4.10387309,4.034843878
1552735_at,2.959205397,2.695383558
1552736_a_at,2.558698194,2.556269156
1552737_s_at,2.92116621,2.957450732
1552738_a_at,3.940430803,3.706488275
1552739_s_at,5.723057402,5.620003536
1552740_at,2.45121104,2.494014226
1552742_at,2.842424713,2.781212124
1552743_at,2.672760844,2.782110375
1552745_at,2.733877023,2.749200591
1552747_a_at,2.29548056,2.250309142
1552749_a_at,5.960814844,6.083963626
1552750_at,2.812523274,2.871978524
1552751_a_at,4.994909385,4.924213613
1552752_a_at,2.851083165,2.785564952
1552754_a_at,2.67456576,2.312891822
1552755_at,3.543426496,3.586795546
1552757_s_at,2.888983394,3.089471576
1552758_at,2.531033751,2.605695772
1552760_at,2.734821884,2.678681819
1552761_at,5.482295041,5.546187785
1552763_at,2.241351116,2.289459589
1552765_x_at,2.585622873,2.554038626
1552766_at,2.146457619,2.106751929
1552767_a_at,2.432627319,2.577530325
1552768_at,5.146910884,5.229266437
1552769_at,3.218193394,3.274776656
1552770_s_at,2.68743143,2.700496509
1552771_a_at,2.64430192,2.726667403
1552772_at,3.432777617,3.633798224
1552773_at,3.386981277,3.451685701
1552774_a_at,4.515968998,3.964010942
1552775_at,3.972323432,4.003557667
1552777_a_at,2.577084093,2.617190916
1552779_a_at,2.480244269,2.440316715
1552782_at,2.476097068,2.386197731
1552783_at,2.282155423,2.293611061
1552785_at,2.666881248,2.558829846
1552787_at,3.388418508,3.0235661
1552788_a_at,4.568810338,4.620763602
1552789_at,3.815279848,3.634056261
1552790_a_at,6.334086969,6.130048659
1552791_a_at,2.20765088,2.197878118
1552792_at,4.09253261,3.957558016
1552793_at,3.222714106,3.24567735
1552794_a_at,2.899210447,2.901556077
1552796_a_at,3.647375576,3.772753709
1552797_s_at,2.451876902,2.472325748
1552798_a_at,3.666565579,4.006687525
1552799_at,3.933548086,4.028483778
1552800_at,5.6418354,5.759882476
1552801_at,3.10797181,3.163847597
1552803_a_at,5.83970033,6.055793315
1552804_a_at,4.149435236,4.25740167
1552806_a_at,3.430992885,3.400766407
1552807_a_at,7.03963712,6.948735448
1552808_at,2.288588425,2.3057791
1552809_at,2.742374263,2.625177408
1552811_at,4.810568904,4.886245095
1552812_a_at,4.228438441,4.461262991
1552813_at,3.263075573,3.381553004
1552814_a_at,3.367397725,3.395776338
1552816_at,2.174566311,2.193562437
1552818_a_at,2.582021864,2.519037382
1552819_at,3.75679997,3.811544016
1552822_at,5.79363719,6.081392723
1552825_at,2.556693581,2.493569962
1552826_at,2.17707182,2.210142242
1552827_s_at,2.751492992,2.795924953
1552828_at,2.955180583,3.085785813
1552829_at,4.098794623,3.915141807
1552830_at,3.477199723,3.535564799
1552833_at,3.631460455,3.755095872
1552834_at,4.699827871,4.771699743
1552835_at,4.444950778,4.509083727
1552836_at,5.3688535,5.502887974
1552837_at,2.001338919,2.082941214
1552839_at,3.158647012,3.175186221
1552841_s_at,2.529084251,2.616673905
1552842_at,3.179773977,3.174176062
1552843_at,3.004893464,2.933474854
1552845_at,5.214961509,5.281141624
1552846_s_at,4.945956184,5.015735656
1552848_a_at,2.815255487,2.730480458
1552849_at,2.341195744,2.377884896
1552851_at,2.411197219,2.405467793
1552852_a_at,2.455384499,2.558092979
1552853_at,3.754380136,3.891668007
1552854_a_at,3.477717944,3.508056839
1552856_at,2.791325809,2.901728027
1552857_a_at,3.482791614,3.467234904
1552858_at,2.020007926,2.091097215
1552860_at,2.842220053,2.838591573
1552862_at,3.547322455,3.449808269
1552863_a_at,5.327065933,5.454894978
1552865_a_at,3.973848595,4.130719285
1552867_at,2.719697168,2.837315803
1552868_at,4.499247414,4.600901464
1552870_s_at,2.247875438,2.353660538
1552872_at,4.492278647,4.568366101
1552873_s_at,5.247318597,5.290695635
1552875_a_at,2.442480747,2.551540857
1552876_at,2.698197361,2.813791773
1552877_s_at,3.33584975,3.435512417
1552878_at,2.144276713,2.206760842
1552879_a_at,2.918250111,2.803384936
1552880_at,2.574586536,2.669497503
1552882_a_at,3.449150665,3.548616845
1552884_at,4.329146693,4.451451582
1552885_a_at,5.777314921,5.829056035
1552887_at,3.889530492,4.059568686
1552889_a_at,6.191097761,6.233771116
1552890_a_at,3.325392212,3.436399294
1552892_at,4.970673197,5.020253839
1552893_at,5.1203021,5.298270827
1552895_a_at,2.278148702,2.296258289
1552897_a_at,2.491396356,2.576425367
1552898_a_at,2.949185194,2.954548101
1552899_at,2.337867311,2.34230703
1552900_a_at,2.412101726,2.443400459
1552902_a_at,3.361144529,3.5018308
1552903_at,3.224631443,3.274058229
1552904_at,2.189806457,2.185165597
1552906_at,2.246834023,2.271039691
1552908_at,5.492885945,4.709135918
1552910_at,2.79320733,2.809388833
1552911_at,4.506592347,4.468096249
1552912_a_at,2.531771345,2.493229904
1552913_at,2.087964089,2.16284173
1552914_a_at,3.587853335,3.627910176
1552915_at,2.794122958,3.025309415
1552917_at,3.890465506,4.065413102
1552919_at,2.402794069,2.404253217
1552921_a_at,5.628963144,5.322595018
1552922_at,2.236794259,2.256755198
1552923_a_at,3.309018725,3.345955164
1552924_a_at,4.042831559,4.094521595
1552925_at,2.82093208,2.845683283
1552927_at,4.706137719,4.803508982
1552928_s_at,4.736622547,4.939305793
1552929_at,2.546357301,2.579088377
1552930_at,6.388158389,6.366819308
1552931_a_at,4.140297621,4.329808634
1552932_at,3.39484202,3.403261836
1552933_at,2.325651718,2.305484535
1552935_at,3.720843885,3.712456429
1552937_s_at,6.032789776,6.037634726
1552938_at,3.367737095,3.303867365
1552939_at,2.482084202,2.25731203
1552940_at,2.928242132,2.9149487
1552942_at,3.96113977,4.156471244
1552943_at,2.18971907,2.176121664
1552944_a_at,6.729653077,6.833541426
1552946_at,3.778778175,3.697031854
1552947_x_at,3.4544412,3.465450018
1552948_at,4.313604103,4.367526663
1552950_at,2.776757108,2.698940909
1552952_at,2.553788303,2.51302061
1552953_a_at,4.378590964,4.495857729
1552954_at,2.974955245,2.894605316
1552955_at,3.769094332,3.777173517
1552957_at,2.709515771,2.745590246
1552960_at,3.139099778,3.185846528
1552961_at,3.166109313,3.254010233
1552964_at,4.54093251,4.638113087
1552965_a_at,3.439706754,3.597163968
